export_path,category,expected_size_bytes,status,local_instance_count,local_filenames,all_sizes_match_manifest,restricted
file-KEWnkNXgepoZ6tBvgxZxy4.dat,asset,3242343,present,1,file-KEWnkNXgepoZ6tBvgxZxy4.dat,yes,no
file-L3KEndyqF9QDqfkbLR2ex8.dat,asset,13481,present,1,file-L3KEndyqF9QDqfkbLR2ex8.dat,yes,no
file-LAkBqcm1iixis2UV9FAhhD.dat,asset,17270,present,1,file-LAkBqcm1iixis2UV9FAhhD.dat,yes,no
file-LDyVbvEBQysuvFsEkssS6p.dat,asset,186923,present,1,file-LDyVbvEBQysuvFsEkssS6p.dat,yes,no
file-LM1CjXHMfghrgxeHSNe2Bc.dat,asset,177993,present,1,file-LM1CjXHMfghrgxeHSNe2Bc.dat,yes,no
file-LSSXmPdHNvcY8jYVszPhmC.dat,asset,397287,present,1,file-LSSXmPdHNvcY8jYVszPhmC.dat,yes,no
file-LcBWsu2sHrvqQ3oML2RmkG.dat,asset,29699,present,1,file-LcBWsu2sHrvqQ3oML2RmkG.dat,yes,no
file-Lgv6PwBzgpZC72Gx3EMqMb.dat,asset,268714,present,1,file-Lgv6PwBzgpZC72Gx3EMqMb.dat,yes,no
file-Lo67dMrrVoyFTcQAStbiuW.dat,asset,536262,present,1,file-Lo67dMrrVoyFTcQAStbiuW.dat,yes,no
file-MMEB6n3RFPxXtPjuXJnKsM.dat,asset,237939,present,1,file-MMEB6n3RFPxXtPjuXJnKsM.dat,yes,no
file-MMuKk5DvAsPLtp71y9i1Gv.dat,asset,143499,present,1,file-MMuKk5DvAsPLtp71y9i1Gv.dat,yes,no
file-Mp9od9bAvq4Z9ZYCd9uQ2B.dat,asset,283064,present,1,file-Mp9od9bAvq4Z9ZYCd9uQ2B.dat,yes,no
file-MwBR35rLsUAqdCRa1gpsVL.dat,asset,1099690,present,1,file-MwBR35rLsUAqdCRa1gpsVL.dat,yes,no
file-N77iJ3ZpTKSXh771gt9qmf.dat,asset,337742,present,1,file-N77iJ3ZpTKSXh771gt9qmf.dat,yes,no
file-N9zYHbMkAEfo4eD8Nv5yuG.dat,asset,79585,present,1,file-N9zYHbMkAEfo4eD8Nv5yuG.dat,yes,no
file-NGWqMYCkJJDTbGRYCeUw6V.dat,asset,3527606,present,1,file-NGWqMYCkJJDTbGRYCeUw6V.dat,yes,no
file-NPNndQGRX1Uji1ymx4B8gn.dat,asset,21623,present,1,file-NPNndQGRX1Uji1ymx4B8gn.dat,yes,no
file-P3u8DW8pAwfksG4y8RCSnq.dat,asset,281198,present,1,file-P3u8DW8pAwfksG4y8RCSnq.dat,yes,no
file-PBujDgkM7ERb533oScTHKo.dat,asset,314989,present,1,file-PBujDgkM7ERb533oScTHKo.dat,yes,no
file-PCYsqcYEbei1eTCgDWX4dS.dat,asset,320318,present,1,file-PCYsqcYEbei1eTCgDWX4dS.dat,yes,no
file-PKAJy6KdHs7kLvjEonRPn5.dat,asset,239348,present,1,file-PKAJy6KdHs7kLvjEonRPn5.dat,yes,no
